"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","38.5997286295794","39.2205074548784","39.6516344547841","42.7518427518428","44.3747295543055","45.1944151310983","45.4701133490989","39.6195165622202","42.226816822101","43.2607514523342","44.9237264507906","48.4821355904615","50.6640968701555","51.7620355990921","51.9145285814552","52.7468652037618","54.6991383087483","52.5674594515965","53.9544884429314","54.3285852579173","55.6179578082769","57.1398139600937","59.3903330201482","59.7827943034732","59.7313237221494","60.0406258926588","60.2362562471604","60.8937226622532","60.8000987014589","62.2157628606897","65.5813827187313","64.3756585879874","64.4177748945832","64.1268810721822","62.1085861516678","61.1203688908165","61.2125177188965","62.7156789197299","57.5867601114582","62.2617037921522","60.7487344013666","59.6693185470909","58.3726822526776","59.0863768972266","","","","","","",
"Afghanistan","AFG","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","16.1904761904762","16.796875","18.4393063583815","17.9683233205898","18.5768863419293","17.5944737911418","16.0996141704665","15.975975975976","16.9629406447725","18.2718031032638","19.2005885237862","20.1845184518452","22.8251318101933","23.9186345569324","24.8935693479722","25.3720930232558","26.1137765592872","24.4673841423237","24.0399218919505","25.3089471082551","26.0618189904381","26.1597690086622","28.8497026860775","29.9588665447898","28.7209054025197","28.1089316320701","27.1367884451997","29.4605809128631","29.1566265060241","28.6618444846293","27.4845784784099","28.8333115097551","24.8346897253306","26.5711412770236","29.3501805054152","31.5577383201108","33.3965125094769","30.8151093439364","30.4304553371485","31.7543491930413","32.2704837117473","33.2474937919617","32.7062228654124","33.6048511177482","","","","","","",
"Angola","AGO","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","12.962962962963","9.58333333333333","11.3636363636364","21.7777777777778","21.9387755102041","22.680412371134","30.4635761589404","17.8294573643411","20.4724409448819","20.3007518796992","21.4285714285714","24.0909090909091","26.2931034482759","12.1076233183857","11.3475177304965","12.9963898916967","12.280701754386","13.3956386292835","12.7272727272727","12.2448979591837","10.7231920199501","9.51156812339332","7.34597156398104","9.09090909090909","9.97442455242967","9.78520286396181","14.7806004618938","15.5495978552279","17.7215189873418","20.0863930885529","20.675944333996","18.9090909090909","17.2804532577904","11.4864864864865","15.9349593495935","12.969696969697","12.344398340249","13.3784928027096","17.8082191780822","17.1844018506279","14.863184079602","12.5860989355041","14.3805309734513","19.1709844559585","","","","","","",
"Albania","ALB","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","20.7253886010363","18.876404494382","21.6836734693878","19.9513381995134","18.4331797235023","17.3076923076923","17.5403225806452","17.0818505338078","14.9253731343284","13.5095447870778","17.7777777777778","19.1489361702128","17.5675675675676","16.8975069252078","18.0115273775216","18.1034482758621","17.2651933701657","17.0153417015342","18.1286549707602","12.8747795414462","14.1732283464567","19.1588785046729","27.2727272727273","30.0492610837438","21.6216216216216","17.741935483871","22.3776223776224","18.75","9.93150684931507","12.3376623376623","10.8695652173913","10.1333333333333","9.42408376963351","6.98254364089776","7.85340314136126","6.86015831134565","8.73015873015873","7.54716981132076","3.71352785145889","2.54452926208651","2.89855072463768","2.8735632183908","1.37362637362637","2.9126213592233","","","","","","",
"Andorra","AND","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","32.8233927188226","33.3853354134165","33.9851171627612","32.9276244294718","33.7732256581971","33.9238883384813","34.707324547962","35.0104456824513","34.6731165967134","36.4453856305435","36.0012274730793","37.0815581253804","38.2888150816298","40.8948794552908","41.5710346054621","43.737252675624","43.5165574711506","44.1528288569412","43.3295083414247","42.7634769800068","41.1186343009436","42.9706050929338","45.3311288414283","46.3090325538744","46.6572313383686","45.97581851757","48.1754345573846","47.082376944657","46.3014562188741","46.8455473381823","47.2141567022566","47.7398027544095","48.9241682870024","49.5736943125568","48.8001880582981","48.8764246290589","46.898081668802","47.8250497017893","48.4012804891892","48.0045267018107","48.2774683825932","48.5337483081711","48.8505337386333","50.1592752973968","","","","","","",
"United Arab Emirates","ARE","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","6.09756097560976","13.1782945736434","16.4086687306502","20.7715133531157","20.5284552845528","22.4489795918367","21.7924528301887","25.6326530612245","28.088336783989","27.2632674297607","25.6750964423489","28.7949921752739","33.2118266504658","28.1367628607277","27.5126333520494","25.9870064967516","24.9208502939846","26.2926292629263","24.0908216278622","26.3157894736842","23.5164835164835","26.3660477453581","28.796777982883","28.7631538813482","29.0063182079265","29.5557694952551","30.3848662752772","32.5978829230965","34.8964148368689","38.8325191030941","36.9541720709036","40.0465411466046","42.3914143970841","47.5664348985618","47.9974799747997","49.4696574508781","45.9041482078131","46.5592572364828","40.3401360544218","40.0527182866557","38.6829206987558","39.8881695114773","39.1076266789647","41.5208345208915","","","","","","",
"Argentina","ARG","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","EN.CO2.ETOT.ZS","","","","","","","","","","","","35.4709661777185","37.0481206607613","35.2725606962895","32.9248740265689","33.1807511737089","33.1915369976492","34.7956989247312","32.6654391855302","33.1965110312981","32.0899443101818","31.2440140470363","30.4822664359862","31.1338682432432","29.3012772351615","29.4017094017094","35.8735095904614","33.9068525660042","39.5327015107441","39.2205559270226","34.5139867176494","36.4738449789996","35.3851928310031","31.736861721953","28.2593559617058","29.1499701594339","30.2515622496395","28.6544342507645","29.1445035460993","31.8736539842067","32.2997416020672","30.267039279615","30.0962091933229","30.8309762250592","31.9388521121955","31.7874590109081","31.6993258143784","33.8165126532584","34.4523068213982","36.1875999289394","35.8853327193184","36.8914891268352","38.4988415324101","37.4025112008408","38.0385634842264","","","","","","",
